"Primary_Accession",count
"O81345",122
"O64989",29
"P55289",1
"Q5R9X1",1
"P55286",1
"Q9ZLU4",1
"A0JN41",311
"P20507",2
"P35217",319
"Q8HY33",319
"Q8UWA5",319
"P08060",311
"Q8XA34",55
"B5YYD1",55
"Q61KR9",1
"P43368",9
"A7MBJ5",1
"Q86VP6",1
"Q9R0L4",1
"P19722",120
"Q89R17",17
"A4WG55",17
"Q9JXG5",17
"Q88MR4",17
"Q3BXC4",17
"P27405",542
"Q07626",1
"Q5BGP0",13
"Q732I2",32
"B0CHS0",32
"Q8K9Z6",32
"C4XRH8",32
"B1XUM3",32
"P63735",32
"P0DA12",32
"Q5XCR8",32
"P0DA13",32
"Q8DKU5",32
"B2UX86",32
"Q6A914",32
"P0DA15",32
"C1CEM9",32
"Q67Q54",32
"D3E4V4",2
"Q74N45",2
"P55212",51
"Q0D9C4",230
"P11934",228
"P42321",230
"P43159",2
"O17473",4
"P25326",4
"Q06115",20
"Q3TTA7",10
"Q29NC4",20
"A7ZKA5",2
"B7M8Y3",2
"B6I976",2
"Q31YR1",2
"P15169",1
"Q84KG5",14
"A5UBV9",10
"Q7RJG2",11
"Q9ZV15",11
"Q5HHB4",8
"P21178",2
"P42219",18
"Q8VCT4",239
"Q2QLH0",11
"Q8N884",17
"A8ILV4",804
"P15599",804
"A0QQU5",804
"Q8YQZ8",804
"Q6MF95",804
"Q31C83",804
"Q7TVA6",804
"A4F749",804
"Q2S5Z8",804
"P35861",804
"A0AXY5",804
"Q930Y0",804
"Q7U348",804
"Q93N35",804
"B3R2Y3",804
"B2KD81",804
"Q8GJ00",804
"O66026",804
"A6X3D0",804
"Q7MAZ7",804
"Q1LQS4",804
"C4K2T9",804
"B0BUM0",804
"A8GT30",804
"Q08854",804
"Q8DMD4",804
"Q3SMK1",804
"B3CL71",804
"Q9W092",29
"Q9T467",60
"P06276",239
"A6H5Q1",52
"Q2JS72",60
"Q9SJH7",94
"P11451",32
"Q8D6J0",67
"Q7MDF0",67
"C4ZY54",24
"B1XF57",24
"P76175",24
"Q2QYW2",124
"Q14JW3",8
"Q5NIG0",8
"Q97EB4",8
"B5EF22",16
"Q89Q54",68
"Q47JS4",68
"A5FRG9",68
"Q3J3P6",68
"A0L0D3",68
"Q6M067",8
"Q9CCK1",8
"Q5UNS9",72
"Q8CQF7",44
"Q5Z0K2",47
"P48866",47
"Q8LX30",47
"P12786",47
"O03546",31
"P50267",26
"P50268",26
"Q38S29",26
"P50666",26
"P29860",26
"P67797",26
"P67798",26
"P67799",26
"P48660",26
"Q38S11",26
"Q7IKU8",26
"Q9G2X2",26
"P08306",7
"P50675",26
"Q38RU4",26
"P98048",26
"P00415",23
"Q2I3F5",23
"Q96065",23
"P28649",5
"Q9YH64",80
"Q9PUB4",61
"O15528",15
"O35084",15
"P20813",48
"P20678",60
"Q64459",79
"Q56XV8",804
"Q9QXK7",2
"Q4QR71",4
"Q45748",10
"Q9XDL1",10
"Q99031",10
"P07141",22
"P25651",2
"Q923L3",10
"Q7Z407",10
"P0A503",44
"P0A502",44
"P63690",44
"P63689",44
"Q4J6M6",4
"Q2HJ66",12
"P07142",50
"P12122",28
"P49488",28
"Q7VDK9",28
"Q9XNX3",50
"P21715",50
"P48521",50
"O78742",50
"Q9TEY6",50
"Q95726",50
"Q95735",50
"P62513",64
"P41283",50
"O79196",50
"O48025",50
"Q34045",50
"Q9B5Q7",50
"Q9TEC1",50
"Q1XII9",50
"O21789",50
"Q94YL9",50
"Q9XKK5",50
"Q9GAW0",50
"Q508M1",50
"O79202",50
"Q9B9F6",50
"Q34760",50
"Q9MI64",50
"O99345",50
"Q6JDT4",50
"Q7IY93",50
"Q957B9",50
"Q5VJ37",50
"Q9GBY8",50
"Q35273",50
"Q9T7P1",50
"Q6ELU8",50
"Q35553",50
"Q8SJZ2",50
"O21804",50
"Q8LWN0",50
"Q36012",50
"Q36089",50
"Q4VWH4",50
"Q6YDK7",50
"Q8GZR2",27
"P06246",27
"P41619",27
"A1E9T7",27
"A8NV38",80
"A5BJL8",80
"O65039",4
"B1LS97",22
"Q1D9W9",22
"B4TTX8",22
"A9MF16",11
"Q0HFL6",11
"P25804",4
"A1WZ50",220
"Q73VZ7",220
"B4SE03",234
"B4S5J5",232
"A4XSW1",224
"A3NZB9",28
"A3NDK8",28
"A7GWC2",4
"Q5FFT0",32
"Q5HAV4",32
"B3E935",24
"Q0I3N1",28
"A0QVR3",4
"Q21H39",24
"Q2LTA0",28
"P17708",30
"P93665",18
"A1VTR6",9
"Q2T1J2",9
"Q8X5M2",9
"B5YVH5",9
"B5XN31",9
"A1BBD2",9
"Q4K878",9
"Q4ZQ33",9
"P32395",2
"B0TWR0",2
"Q9JV52",11
"Q0AIF1",10
"A4XPQ6",10
"Q07S20",4
"A6QAQ4",2
"Q8CWI5",16
"O82261",6
"Q731L0",9
"B9IWV1",9
"Q6MGR8",4
"C4L415",4
"Q0I2N7",4
"B0UTU0",4
"Q8CNH7",4
"A8AX59",4
"Q73AZ1",5
"O51881",5
"A7FW89",5
"B2THQ9",5
"A5I4V0",5
"Q0TPJ9",5
"Q8XJK1",5
"Q0SS66",5
"B3R1J8",5
"B5EE25",5
"Q74AX4",5
"Q1MS56",5
"Q2RIV4",5
"Q7V8X0",5
"Q886Y6",5
"Q1GHZ2",5
"A2RGB0",5
"Q31KP9",5
"Q5N167",5
"Q3BTW0",5
"A5VQ53",12
"A7HXJ5",12
"Q4FM11",12
"C4K183",12
"Q8K9B5",16
"P28997",148
"O59650",148
"P28822",54
"Q9JT70",54
"Q5XCA8",54
"B2IZP9",4
"Q20875",1
"Q5BJS0",1
"Q5RBD4",1
"Q9CLH5",14
"B8ZQ14",51
"C1CU95",51
"P0CT20",12
"Q12594",12
"P19732",49
"A4XTN0",13
"Q9Z6W4",1
"Q9X4D0",1
"Q5HNY6",1
"Q8CP23",1
"Q5N0G0",15
"B3QZ38",15
"Q11QH3",15
"Q0BW82",15
"A1WX31",15
"B5Z9P0",15
"A6T226",15
"Q28VY3",15
"Q9ZIV1",14
"B2HPS1",15
"Q6MT06",15
"P95334",15
"A7HZ39",15
"Q6MB26",15
"O52064",15
"B1XRU1",15
"Q1IF59",15
"A4XYF6",15
"A8G9K8",15
"B9DNK0",15
"A3CQC2",15
"P06500",5
"Q64759",5
"P49917",6
"B5YD88",6
"C1D1Y6",19
"Q8YI56",19
"Q13XB0",19
"A1BDQ5",19
"Q891I0",19
"Q1J0I6",19
"Q74ER9",19
"A4IJY6",19
"B4U8X0",19
"Q9CIE4",19
"B2HIF0",19
"Q8EWL9",19
"Q6N423",19
"A4WRP6",19
"Q8Z4W4",19
"Q0HK31",19
"Q8D2B9",19
"Q9H7D0",2
"Q06801",4
"Q4PA25",4
"Q55971",95
"Q92GB2",13
"P24117",34
"P22838",34
"P0C1P9",13
"A9A3A9",135
"Q8CNP3",135
"Q5M2Y5",135
"Q03J54",135
"O35654",1
"F4HW04",93
"Q69025",93
"P52025",93
"P30318",93
"P81425",106
"Q63150",37
"Q924H9",1
"Q23695",302
"Q14126",1
"A3DLP6",3
"A1BI65",32
"Q8KBF6",32
"B8FQT8",32
"Q24UQ3",32
"A2SKK9",32
"A1TDH1",6
"Q1LRC2",32
"A3CZD8",32
"Q8HZK2",102
"B0CD21",46
"Q2GKQ8",46
"A6L0W8",46
"Q5L651",46
"B3QXY0",46
"A6SZP5",46
"Q215E3",46
"A1K4R0",42
"Q8A0C2",60
"A9IQP2",42
"A3NMF6",42
"Q9Z6J9",60
"A7MFG0",42
"Q6AJQ1",60
"Q1MRB3",60
"Q60AN1",42
"Q4K5A5",58
"Q0S1H1",42
"Q3AXZ4",60
"Q47NL9",60
"B9L1L6",44
"P53626",2
"A1JPR1",252
"Q07591",2
"C0LRA7",97
"E4UPZ6",10
"A1DGH9",10
"P0CT31",10
"P0CT32",10
"P14864",10
"A4FWE9",10
"O27132",10
"C3N5S0",49
"C4KHE9",49
"C3MQ53",49
"C3MVH1",49
"C3NHB6",49
"C3NED6",49
"P29551",7
"Q9HWD2",50
"Q118Z3",50
"Q1DLM0",50
"B4JQM7",50
"Q07803",50
"A3N247",50
"P80868",50
"C0ZIH5",50
"A5FRY7",50
"Q3ZZM6",50
"Q0I537",50
"B0UWC4",50
"C1DAR4",50
"Q9K1I8",50
"Q03EB4",50
"A5D5I7",50
"Q6N4T4",50
"B3QBY3",50
"Q92J93",50
"Q8KTB2",50
"A6U856",50
"C0M937",50
"Q8DVV4",50
"C0MF25",50
"A6Q6I6",50
"B1AJG4",50
"Q9PPW7",50
"Q5NQ66",50
"Q485Q8",4
"Q8PLF1",4
"Q4UU61",4
"B0RSN5",4
"Q8P9M3",4
"C1ERR9",4
"C4K7E2",4
"B2HND2",4
"A0PPH6",4
"Q4FN36",4
"Q72JL2",4
"Q76G20",4
"Q116D6",4
"A1W917",13
"Q0VQF6",13
"A8ES84",13
"B5YEG8",4
"A5UDG1",13
"P43894",13
"A5ICK9",13
"Q5ZUS9",13
"B8EKA0",13
"A9M490",13
"A1KWH7",13
"Q8EQV2",13
"Q3B5T9",13
"P61338",13
"B3Q7K3",13
"A6QGF7",13
"Q04HW4",13
"B8ZQA5",13
"P0A3B7",13
"B2INN1",13
"P0A3B8",13
"C1CHL3",13
"C1CNI7",13
"C1CUD1",13
"Q87MD9",13
"Q4QMW6",13
"Q0AIJ7",4
"Q1CN86",13
"A6KYK9",8
"Q13TF5",2
"Q99QM0",2
"A4XBP8",2
"P01132",2
"D0Z6T1",155
"B1LLF1",36
"Q9C9G4",3
"Q2FQL9",53
"A9NF93",53
"A1US94",52
"Q3AFC8",52
"B3EL51",53
"Q11QE1",53
"Q47DI1",53
"Q03SL5",53
"A5IYA8",52
"Q2SSR3",53
"Q1QMI9",53
"Q2S4F8",53
"A8H1S5",53
"Q5HQV0",53
"Q8CPY3",53
"B1LCF4",53
"Q72H85",52
"Q5SME1",52
"Q9PDT8",53
"Q1C3Y6",53
"Q8ZBN2",53
"A9R1D1",53
"Q1CLT2",53
"A4TPY1",53
"Q66HD0",28
"P03394",1
"P12489",66
"Q9QBZ4",66
"O42422",16
"Q9V3A6",3
"Q04456",239
"Q29550",239
"P94132",2
"Q9HZP5",2
"Q89QX6",28
"Q59782",28
"Q12700",4
"Q2KJJ9",258
"Q39UC4",246
"B1XVF7",258
"Q5E887",220
"Q8D275",254
"Q91309",15
"Q58L91",19
"Q93Q12",9
"A9KU91",9
"Q07ZP8",9
"Q3YK19",3
"Q0I2Z4",2
"Q2K8C8",12
"Q7V1T8",3
"Q29041",130
"D8VNS7",126
"O06644",16
"B2TWX3",16
"B1LMS6",1
"A9KV86",1
"Q99UA7",1
"Q7A5R3",1
"P95734",1
"Q2YXZ4",1
"Q7K7A9",2
"A6UX46",2
"P00542",4
"P0C5K5",4
"P03748",6
"P04115",126
"P46869",153
"Q8YDL6",11
"A2APV2",4
"B6YQF1",7
"A1UUB5",7
"C0RMH3",7
"B0T1S7",7
"O05101",7
"B2V4B2",7
"A6SU87",7
"Q8YRI6",5
"Q8ER25",7
"A9FL08",7
"A5IJP6",7
"Q7VVW3",30
"Q2J9L3",30
"A5VAA8",26
"Q6G0I9",26
"B7J0W5",26
"B8E335",30
"Q5HAK8",26
"B2SF67",30
"Q17W13",30
"Q1GXE6",26
"Q2SRE7",30
"P51696",30
"Q3IF52",30
"Q8CPP4",26
"A8AW32",30
"Q83HF0",26
"Q5TJ57",2
"Q6ML45",36
"Q7VUG7",36
"Q726D5",36
"Q8EPE6",36
"A3PFL2",36
"Q16DL0",36
"A5F407",36
"Q9KVC5",36
"C3LQI3",36
"Q9ZMP0",55
"B4TF89",6
"Q328H2",6
"B4TQG9",10
"Q90844",4
"P19883",4
"Q48TE8",42
"Q8NZ49",42
"B8I3S9",42
"Q3ZX40",42
"A8LIR1",42
"C5CI89",42
"Q7MUZ8",42
"B0KC36",42
"A1DJ20",12
"B0K657",24
"P73437",30
"Q98PE4",30
"Q92BW9",9
"Q8E418",9
"Q8PL00",9
"P45484",3
"O27712",2
"Q5LIN8",34
"B6I6K0",34
"P44779",34
"Q822D5",117
"Q9JTR0",117
"P07954",117
"P14408",117
"A1JTG3",1
"P32810",252
"P50322",252
"P47543",252
"B9JQW4",56
"P52031",56
"B0TYL4",56
"Q1CSA0",56
"P12341",56
"Q8Y4R7",56
"Q04IA2",56
"B1I9D8",56
"Q8DN74",56
"Q31I19",56
"P81406",302
"Q5P4D0",46
"B7JMB2",46
"A4JIT0",46
"A0RNK4",46
"E2QUD0",46
"A9WCD8",46
"B9LER8",46
"A7NEM1",46
"Q2A1D8",46
"Q0BK40",46
"Q5WVW0",46
"Q72SC3",46
"F7A3P2",46
"B7V023",46
"Q02GV8",46
"Q98M95",46
"Q49YU4",46
"B5XHZ9",46
"B9DVG6",46
"Q9LCX3",46
"A5EKP2",14
"B0B9B1",14
"B0BAZ0",14
"A0Q2P9",14
"A1WVR6",14
"Q9ZLH6",14
"A4G1L3",14
"A5VLG2",14
"B2G8T5",14
"Q5N294",14
"C5BSY9",14
"A5IMT3",14
"Q9HJJ5",82
"A4WKM4",14
"Q9HJJ6",14
"B4TWB1",2
"P08666",15
"Q19980",80
"Q9AAY3",80
"A3CKF4",80
"Q5P229",8
"A5IKK8",6
"B6ES35",6
"Q39KU1",6
"O49850",6
"B5XUD5",6
"Q7V411",6
"A4YAD8",6
"A1RFY8",6
"C5BNY8",6
"Q83IA7",6
"Q6MQ03",14
"Q3AET7",14
"B1IEV3",14
"C5BAT2",8
"Q3IFV9",8
"Q83JU1",8
"Q4L6N7",14
"O97556",2
"Q99PT1",6
"Q5XI73",6
"Q69467",7
"P07645",7
"Q54PQ4",6
"P24380",4
"Q8DR60",1
"A6TFG7",7
"A1JT62",7
"P89445",1
"Q4VPP0",59
"P32816",25
"P0CN83",19
"P0CN82",19
"Q30Z14",63
"Q2W2Q6",56
"A2BQ65",56
"Q1AZ86",56
"Q47SE7",50
"Q05509",6
"A0JZ25",25
"B2SZR6",25
"Q5L588",25
"A0PXZ6",25
"A3DEL6",25
"Q47YJ7",25
"B6J7Z9",25
"B6IZD8",25
"Q1IXS5",25
"Q74C70",25
"Q7VF98",25
"Q1WSZ9",25
"B1XXG0",25
"A2BP40",25
"Q48E72",25
"B5ZNL4",25
"Q21H51",25
"Q0T0A8",25
"Q49ZA7",25
"Q5XCE0",25
"Q1JH49",25
"Q1J6W8",25
"A2REP8",25
"Q48TV1",25
"Q5N0M0",25
"Q87LZ7",25
"Q9PMT4",6
"Q8FBT4",6
"Q5QZH5",6
"P40831",6
"Q9V249",6
"O57981",6
"Q56213",6
"B7HIL7",6
"Q81J98",6
"A4J0P6",18
"B2VCC9",15
"C4KZV1",6
"B0TZM4",9
"Q724L5",15
"B8ZU67",30
"Q9CD44",30
"Q9HT22",9
"Q2NQ84",15
"B5YHS4",18
"P15105",248
"P43518",248
"P32289",248
"Q6C3E0",248
"A8APT2",1
"C4ZQX0",1
"B1XG58",1
"B1IRR3",1
"P30870",1
"Q65T25",1
"A0QEW1",1
"B3QBR5",1
"A7FX30",88
"A5I5M0",88
"B5EB79",88
"B1Y1L9",88
"A6W2C1",88
"A1TGD7",88
"Q8ZKP3",88
"A4Y2M5",88
"A1REY5",88
"B4SJT3",88
"Q1J5E4",88
"Q48RX6",88
"Q8PQG7",88
"O86963",1
"Q9LFN8",4
"Q9K9L8",30
"B8GYE8",30
"Q9ABF2",30
"Q2J097",30
"Q6FFC0",16
"Q83ME2",16
"P07399",3
"P04405",54
"P25157",46
"Q8N0V5",4
"Q8T130",55
"Q9Y7B7",48
"P93564",48
"A0Q5M6",5
"Q6Y8Q8",5
"Q57IC9",5
"Q9L214",5
"Q87KZ5",5
"Q5GSN3",5
"P48058",4
"B1AS29",4
"A4IJ06",6
"P0C643",2
"A4WDQ2",12
"Q7MHS5",12
"Q2UFN0",8
"A7H2D2",8
"P60499",8
"A4QBV0",8
"A4WD82",8
"A4IXW6",8
"B8F3T2",8
"Q92CU0",8
"Q8Y822",8
"Q03H14",8
"Q21W48",8
"Q9X2E0",8
"B1LAK3",8
"B0U3R8",8
"Q5NN19",8
"Q74ZG2",41
"B9F2U5",41
"Q5HJZ0",51
"P0C9A4",1
"Q8PZT3",16
"P24153",2
"Q8BY71",1
"P0C6I5",964
"B5XYB9",20
"B5F118",20
"B4TCZ8",20
"B4T0F9",20
"A9N804",20
"Q9Z2V6",30
"B1H369",30
"A6VND5",2
"Q3M6T2",2
"A8ERT8",2
"Q2SUG3",2
"A9KGY4",2
"A9N9K1",2
"P47846",2
"P48077",2
"B9E745",2
"Q1GYE9",2
"Q4K694",2
"Q0HFC7",2
"Q0W5T5",2
"Q94LA4",168
"A8MDU3",5
"A7ZD37",5
"A0Q2B1",5
"Q6NJK0",5
"Q2GGC7",5
"Q5KWK6",5
"P56140",5
"A8AAB4",5
"Q65VX7",5
"Q1QQP5",5
"O69110",5
"A3PBM0",5
"Q4ULA5",5
"Q9ZD77",5
"Q088L3",5
"B0TJ54",5
"A8G0W4",5
"B2S710",10
"Q2YS10",10
"Q57BW7",10
"A9M6L4",10
"C0REI6",10
"P63850",10
"P63851",10
"B1J4A2",10
"P03458",647
"P26135",647
"P17001",647
"P10757",647
"O04921",34
"B0BTL7",34
"Q0VSV6",34
"Q1BYX9",34
"P56107",34
"A1UFU2",34
"Q1B968",34
"Q8CWW4",34
"Q21AX5",24
"B7LUF0",6
"C1A4M2",6
"B4ET04",6
"A0KWB6",6
"Q4UU39",6
"Q5LB00",99
"Q64RE9",99
"A0PXP6",99
"Q47AM0",99
"Q2J8L0",99
"Q11CL1",99
"A4SV17",99
"Q7V4R6",99
"A9WQ57",99
"P60887",99
"Q7MLS4",99
"Q92S26",14
"Q8UHX1",14
"Q9PM77",14
"P62457",14
"Q92E84",14
"Q5PDP3",14
"Q5HKN8",14
"Q2YBX1",6
"Q2FVK2",53
"Q07227",53
"P28029",4
"Q9S7J8",9
"Q01237",84
"P16393",84
"Q9I0H4",13
"Q91UL0",17
"P19758",17
"Q2T7S9",6
"Q3ACM0",6
"A9W9U3",6
"B9LCM1",6
"B7MPB9",6
"B0TTS9",6
"P34749",12
"Q6TGZ5",2
"Q9K6Y4",9
"Q2P692",9
"B2SJZ7",9
"Q5H3D6",9
"P45018",1
"A2VD93",15
"A1JKQ7",15
"B1L0U2",4
"C3K4J4",4
"A5VX31",4
"B8E3S8",4
"A3DAB1",4
"A6WHM8",4
"A9KVC8",4
"B4U0F0",4
"Q9KNK2",4
"A6VL81",78
"Q4QN49",78
"Q1G9V4",36
"Q2NYV9",54
"Q5GVM7",54
"P09446",15
"P11147",15
"Q0A738",28
"Q1H2K2",28
"Q9ZCB9",28
"A8FX83",28
"P91443",135
"B7HKJ1",40
"B9IUH0",40
"Q6AKP3",40
"A7ZAE5",2
"Q9NAE2",2
"Q42525",51
"P52789",72
"P83776",55
"Q969A8",51
"P31877",1
"P19922",46
"P94552",3
"Q9FLN8",6
"P39126",173
"Q34807",2
"P25038",6
"A7H9F3",6
"B7IUH1",6
"C1FS59",7
"Q3SWP9",7
"A6WWW5",7
"Q3B1Z8",6
"C0QTL9",7
"A9WPV8",6
"A7NID1",7
"Q16D38",7
"B1KRR0",6
"Q59L13",5
"A5UL31",5
"C3MZB3",7
"C4KIJ1",7
"C3MXG7",7
"P15092",30
"P28171",1
"Q95187",1
"P80229",106
"Q9JIL3",8
"A5FXD0",1
"Q9YG88",1
"B2UR52",1
"A4JN03",1
"Q97EE3",1
"Q0BQR6",1
"Q72TC0",1
"Q8F219",1
"Q8TW40",1
"Q2NE10",1
"Q9JS61",1
"Q4L7T6",1
"C3NLR8",1
"C3N9R7",1
"Q97UB2",1
"Q67KX6",1
"A5IJM4",1
"Q5SIY0",1
"P0C0H7",8
"Q5X9A3",8
"P68839",8
"P0C0H6",8
"Q6HIK3",302
"A5YBJ3",302
"Q4V1F5",226
"P23677",3
"Q9UY24",155
"Q8U438",175
"P65749",126
"P65748",126
"Q3UQ44",1
"O18839",12
"O02670",12
"P10342",56
"A7HDA2",96
"Q5GSM7",48
"B7HJ25",117
"B9MRD4",117
"B3QV82",117
"A7FQ95",117
"A5HXW3",117
"A7G9H1",117
"B1KRX5",117
