Primary_Accession,Domain,Color,Darkness,Disorder,Compositional_Bias,Transmembrane,Length,Evolutionary_Re-use,Interactions,Coding_Potential
Q29836,Eukaryota,Non-dark,18%,20%,0%,7%,362,490,36,9.27
Q31612,Eukaryota,Non-dark,18%,19%,0%,7%,363,493,36,12.45
P30498,Eukaryota,Non-dark,18%,25%,0%,7%,362,495,70,11.4
Q31610,Eukaryota,Non-dark,18%,19%,0%,7%,362,493,36,13.12
Q29718,Eukaryota,Non-dark,18%,22%,0%,7%,362,495,62,7.95
P30499,Eukaryota,Non-dark,24%,22%,0%,7%,366,488,46,11.65
P30501,Eukaryota,Non-dark,24%,22%,0%,7%,366,493,46,11.43
P04222,Eukaryota,Non-dark,24%,18%,0%,7%,366,490,40,12.04
P30504,Eukaryota,Non-dark,24%,20%,0%,7%,366,491,44,11.61
Q9TNN7,Eukaryota,Non-dark,24%,22%,0%,7%,366,492,38,10.2
Q29963,Eukaryota,Non-dark,24%,20%,0%,7%,366,494,42,10.17
P10321,Eukaryota,Non-dark,21%,21%,0%,7%,366,488,36,11.09
P30505,Eukaryota,Non-dark,24%,20%,0%,7%,366,493,44,11.85
P30508,Eukaryota,Non-dark,24%,20%,0%,7%,366,492,42,8.62
P30510,Eukaryota,Non-dark,24%,20%,0%,7%,366,492,46,10.17
Q07000,Eukaryota,Non-dark,24%,21%,0%,7%,366,493,44,11.34
Q29960,Eukaryota,Non-dark,24%,21%,0%,7%,366,494,22,7.09
Q95604,Eukaryota,Non-dark,25%,20%,0%,6%,372,487,38,11.07
Q29865,Eukaryota,Non-dark,24%,20%,0%,7%,366,492,46,10.53
Q15172,Eukaryota,Non-dark,21%,14%,1%,0%,486,195,74,12.29
Q15173,Eukaryota,Non-dark,23%,18%,0%,0%,497,197,76,13.12
Q14738,Eukaryota,Non-dark,36%,23%,0%,0%,602,199,50,14.59
Q16537,Eukaryota,Non-dark,18%,13%,0%,0%,467,NA,76,11.65
Q13362,Eukaryota,Non-dark,16%,12%,0%,0%,524,198,94,12.32
P30153,Eukaryota,Non-dark,0%,0%,0%,0%,589,340,78,11.68
P30154,Eukaryota,Non-dark,4%,2%,0%,0%,601,395,82,9.44
P63151,Eukaryota,Non-dark,0%,4%,0%,0%,447,NA,76,9.49
Q00005,Eukaryota,Non-dark,4%,5%,0%,0%,443,NA,72,10.1
Q66LE6,Eukaryota,Non-dark,4%,9%,1%,0%,453,5567,84,5.98
Q9Y2T4,Eukaryota,Non-dark,6%,10%,0%,0%,447,5531,82,11.74
P04229,Eukaryota,Non-dark,21%,1%,0%,9%,266,429,48,4.24
P01912,Eukaryota,Non-dark,24%,1%,0%,9%,266,427,48,5.67
P13760,Eukaryota,Non-dark,23%,0%,0%,9%,266,425,50,6.1
P13761,Eukaryota,Non-dark,24%,0%,0%,9%,266,414,6,6.01
Q30134,Eukaryota,Non-dark,24%,0%,0%,9%,266,423,48,3.77
Q9TQE0,Eukaryota,Non-dark,24%,1%,0%,9%,266,426,54,5.1
Q30167,Eukaryota,Non-dark,24%,1%,0%,9%,266,425,50,5.15
P20039,Eukaryota,Non-dark,24%,0%,0%,9%,266,414,70,5.94
Q95IE3,Eukaryota,Non-dark,24%,1%,0%,8%,266,425,48,4.85
Q5Y7A7,Eukaryota,Non-dark,24%,1%,0%,8%,266,428,70,4.49
Q9GIY3,Eukaryota,Non-dark,24%,0%,0%,8%,266,426,70,3.26
P01911,Eukaryota,Non-dark,21%,0%,0%,8%,266,429,52,6.11
Q29974,Eukaryota,Non-dark,24%,1%,0%,8%,266,427,48,4.4
P14060,Eukaryota,Non-dark,8%,3%,0%,6%,373,4089,50,5.99
P26439,Eukaryota,Non-dark,7%,2%,0%,6%,372,3848,50,6.08
Q9H2F3,Eukaryota,Non-dark,7%,4%,0%,11%,369,283,22,3.94
Q9Y3L3,Eukaryota,Non-dark,42%,48%,0%,0%,701,1655,2,8.48
P78314,Eukaryota,Non-dark,55%,58%,2%,0%,561,317,100,7.69
Q7L8J4,Eukaryota,Dark,100%,70%,3%,0%,393,76,0,6.5
O60239,Eukaryota,Non-dark,98%,62%,44%,0%,455,76,62,8.59
P46952,Eukaryota,Non-dark,0%,2%,0%,0%,286,43,16,4.96
P31937,Eukaryota,Non-dark,1%,0%,0%,0%,336,768,48,5.24
P29372,Eukaryota,Non-dark,27%,31%,0%,0%,298,117,42,2.82
P11171,Eukaryota,Non-dark,67%,59%,0%,0%,864,625,46,12.47
Q13541,Eukaryota,Non-dark,82%,92%,0%,0%,118,24,66,1.59
Q13542,Eukaryota,Non-dark,84%,82%,0%,0%,120,23,12,0.61
O60516,Eukaryota,Non-dark,85%,67%,0%,0%,100,24,74,1.27
Q9NRA8,Eukaryota,Dark,100%,68%,6%,0%,985,53,2,13.95
P08195,Eukaryota,Non-dark,24%,21%,0%,3%,630,1336,24,10.63
P08908,Eukaryota,Non-dark,25%,16%,0%,41%,422,3991,110,6.59
P28222,Eukaryota,Non-dark,0%,4%,0%,42%,390,NA,110,5.28
P28221,Eukaryota,Non-dark,11%,3%,0%,44%,377,4084,110,5.65
P28566,Eukaryota,Non-dark,6%,2%,0%,44%,365,4079,110,3.93
P30939,Eukaryota,Non-dark,6%,0%,0%,41%,366,4041,110,3.81
P28223,Eukaryota,Non-dark,32%,3%,0%,34%,471,3713,76,3.76
P41595,Eukaryota,Non-dark,23%,1%,0%,32%,481,3781,80,4.32
P28335,Eukaryota,Non-dark,28%,6%,0%,35%,458,3771,96,2.21
P46098,Eukaryota,Non-dark,22%,6%,0%,18%,478,1229,34,6.82
O95264,Eukaryota,Non-dark,18%,1%,0%,18%,441,1212,20,5.02
Q8WXA8,Eukaryota,Non-dark,19%,5%,0%,19%,447,1164,20,5.84
Q70Z44,Eukaryota,Non-dark,23%,11%,0%,19%,454,672,20,5.36
A5X5Y0,Eukaryota,Non-dark,19%,11%,0%,18%,456,1211,20,5.01
Q13639,Eukaryota,Non-dark,21%,3%,0%,38%,388,3978,110,4.5
P47898,Eukaryota,Non-dark,9%,1%,0%,43%,357,3964,108,4.31
P50406,Eukaryota,Non-dark,30%,23%,0%,37%,440,3950,110,5.61
P34969,Eukaryota,Non-dark,31%,1%,0%,31%,479,3742,110,3.88
Q9BXI3,Eukaryota,Dark,100%,15%,0%,0%,368,39,42,6.75
Q96P26,Eukaryota,Dark,100%,38%,17%,0%,610,41,48,7.26
Q9H0P0,Eukaryota,Non-dark,13%,0%,0%,0%,336,102,48,5.78
Q969T7,Eukaryota,Non-dark,3%,0%,0%,0%,300,128,12,6.27
P49902,Eukaryota,Non-dark,4%,8%,2%,0%,561,147,56,7.26
P21589,Eukaryota,Non-dark,9%,1%,0%,0%,574,795,52,6.65
P56378,Eukaryota,Dark,100%,0%,0%,33%,58,5,110,0.81
P52209,Eukaryota,Non-dark,0%,2%,0%,0%,483,591,58,11.09
O95336,Eukaryota,Non-dark,8%,8%,0%,0%,258,284,20,3.74
P05408,Eukaryota,Dark,100%,52%,0%,0%,212,27,6,6.51
P36639,Eukaryota,Non-dark,8%,17%,0%,0%,197,1016,2,3.22
P0DKL9,Eukaryota,Dark,100%,20%,23%,0%,152,45,0,2.27
Q8IZ83,Eukaryota,Non-dark,8%,6%,0%,0%,802,1353,2,8.33
Q676U5,Eukaryota,Non-dark,25%,25%,0%,0%,607,6171,28,3.66
Q8NAA4,Eukaryota,Non-dark,35%,16%,0%,0%,619,6170,2,6.15
P02763,Eukaryota,Non-dark,9%,8%,0%,0%,201,21,42,4.37
P19652,Eukaryota,Non-dark,9%,8%,0%,0%,201,21,24,4.47
P20848,Eukaryota,Non-dark,11%,4%,0%,0%,420,757,0,7.04
P01009,Eukaryota,Non-dark,6%,6%,0%,0%,418,758,72,8.06
P04217,Eukaryota,Non-dark,5%,16%,0%,0%,495,1444,10,6.01
Q9NQ94,Eukaryota,Non-dark,56%,5%,0%,0%,594,2725,16,9.23
Q5TYW2,Eukaryota,Non-dark,66%,31%,0%,0%,823,5553,0,8.24
Q5SQ80,Eukaryota,Non-dark,63%,31%,0%,0%,823,5559,0,8.24
Q5VUR7,Eukaryota,Non-dark,63%,30%,0%,0%,823,5564,0,8.1
Q4UJ75,Eukaryota,Non-dark,63%,31%,0%,0%,823,5555,0,8.18
A0PJZ0,Eukaryota,Non-dark,5%,0%,0%,0%,165,6288,0,2.21
Q96IX9,Eukaryota,Dark,100%,38%,0%,0%,119,65,0,3.62
P08697,Eukaryota,Non-dark,24%,15%,0%,0%,491,722,82,6.1
P02750,Eukaryota,Non-dark,12%,5%,0%,0%,347,4699,2,3.56
P01023,Eukaryota,Non-dark,2%,3%,0%,0%,1474,529,64,17.26
A8K2U0,Eukaryota,Non-dark,3%,3%,0%,0%,1454,529,2,17.29
A7E2S9,Eukaryota,Non-dark,9%,25%,0%,0%,258,5778,0,2.39
Q5T5F5,Eukaryota,Dark,100%,94%,29%,0%,129,2,54,1.79
Q9NPC4,Eukaryota,Non-dark,42%,4%,0%,6%,353,161,22,6.13
Q9UNA3,Eukaryota,Non-dark,41%,3%,0%,6%,340,150,0,5.9
P05067,Eukaryota,Non-dark,27%,37%,5%,3%,770,149,32,15.42
Q96GX2,Eukaryota,Non-dark,25%,15%,0%,0%,97,10,0,1.14
P30542,Eukaryota,Non-dark,9%,3%,0%,51%,326,3958,90,5.13
P29274,Eukaryota,Non-dark,23%,15%,0%,41%,412,3644,110,4.72
P29275,Eukaryota,Non-dark,12%,0%,0%,51%,332,3803,92,3.96
Q6P2N6,Eukaryota,Non-dark,59%,9%,0%,16%,266,145,108,6.26
P33765,Eukaryota,Non-dark,0%,0%,0%,50%,318,3916,108,4.06
Q9NS82,Eukaryota,Non-dark,20%,8%,0%,36%,523,1510,4,8.88
P22760,Eukaryota,Non-dark,14%,0%,0%,5%,399,2210,2,3.28
Q9NRG9,Eukaryota,Non-dark,13%,12%,0%,0%,546,4900,110,7.9
Q15758,Eukaryota,Non-dark,27%,7%,0%,39%,541,450,24,6.57
Q86V21,Eukaryota,Non-dark,7%,0%,0%,0%,672,5179,80,8.9
P01011,Eukaryota,Non-dark,5%,3%,0%,0%,423,757,18,6.79
Q8N5Z0,Eukaryota,Non-dark,0%,10%,0%,0%,425,1555,18,4.12
Q7RTV5,Eukaryota,Non-dark,33%,0%,0%,0%,226,160,0,1.44
Q6PD74,Eukaryota,Non-dark,49%,28%,0%,0%,315,66,0,6.18
Q2M2I8,Eukaryota,Non-dark,71%,57%,27%,0%,961,9974,4,10.68
Q9Y478,Eukaryota,Non-dark,0%,29%,0%,0%,270,276,86,4.99
O43741,Eukaryota,Non-dark,32%,29%,0%,0%,272,292,110,4.37
P54619,Eukaryota,Non-dark,0%,6%,0%,0%,331,800,96,7.29
Q9UGJ0,Eukaryota,Non-dark,44%,39%,0%,0%,569,710,104,8.13
Q9UGI9,Eukaryota,Non-dark,37%,27%,0%,0%,489,724,102,9.59
Q9H7C9,Eukaryota,Non-dark,0%,17%,0%,0%,122,81,0,2.29
Q13685,Eukaryota,Non-dark,20%,23%,2%,0%,434,5812,0,4.79
Q13131,Eukaryota,Non-dark,13%,12%,0%,0%,559,9987,86,7.44
P54646,Eukaryota,Non-dark,0%,10%,0%,0%,552,9986,102,7.91
Q9Y312,Eukaryota,Non-dark,18%,1%,0%,0%,384,96,42,7.29
Q4LEZ3,Eukaryota,Dark,100%,15%,30%,0%,155,6,0,1.52
P86434,Eukaryota,Dark,100%,37%,0%,0%,159,1,0,5.06
Q9BTE6,Eukaryota,Non-dark,5%,14%,0%,0%,412,314,2,6.78
Q9UDR5,Eukaryota,Non-dark,9%,0%,0%,0%,926,313,14,11.67
Q8NHS2,Eukaryota,Non-dark,7%,0%,0%,0%,421,287,10,4.97
P17174,Eukaryota,Non-dark,3%,2%,0%,0%,413,1347,60,7.98
Q9NY61,Eukaryota,Dark,100%,50%,18%,0%,560,90,58,9.07
P00505,Eukaryota,Non-dark,7%,2%,0%,0%,430,1274,64,8.8
Q7Z5M8,Eukaryota,Non-dark,30%,2%,0%,0%,362,2785,0,3.67
Q96GS6,Eukaryota,Non-dark,12%,3%,0%,0%,310,2787,0,5.74
Q5VST6,Eukaryota,Non-dark,21%,0%,0%,0%,288,3118,0,3.26
Q6PCB6,Eukaryota,Non-dark,30%,12%,11%,0%,329,2639,2,4.93
Q7Z5R6,Eukaryota,Non-dark,53%,52%,24%,0%,666,142,42,9.68
P31941,Eukaryota,Non-dark,0%,2%,0%,0%,199,47,2,2.75
Q9UH17,Eukaryota,Non-dark,2%,0%,0%,0%,382,49,6,5.02
Q9NRW3,Eukaryota,Non-dark,0%,0%,0%,0%,190,49,2,1.4
Q96AK3,Eukaryota,Non-dark,5%,0%,0%,0%,386,48,18,3.76
Q8IUX4,Eukaryota,Non-dark,1%,0%,0%,0%,373,48,22,2.2
Q9HC16,Eukaryota,Non-dark,2%,0%,0%,0%,384,47,28,3.32
Q6NTF7,Eukaryota,Non-dark,13%,0%,0%,0%,200,47,2,1.98
O95477,Eukaryota,Non-dark,80%,5%,0%,14%,2261,5633,46,25.39
Q9BZC7,Eukaryota,Non-dark,81%,11%,0%,12%,2435,5602,32,31.86
Q99758,Eukaryota,Non-dark,73%,2%,0%,17%,1704,5690,30,23.75
P78363,Eukaryota,Non-dark,80%,7%,0%,11%,2273,5866,8,24.83
Q8WWZ7,Eukaryota,Non-dark,72%,1%,0%,19%,1642,5653,0,14.62
Q8N139,Eukaryota,Non-dark,72%,2%,0%,18%,1617,5706,0,7.17
Q8IZY2,Eukaryota,Non-dark,79%,10%,0%,15%,2146,5601,36,26.19
O94911,Eukaryota,Non-dark,74%,3%,0%,19%,1581,5661,0,14.85
Q8IUA7,Eukaryota,Non-dark,72%,2%,0%,18%,1624,5588,0,10.57
Q8WWZ4,Eukaryota,Non-dark,70%,3%,0%,20%,1543,5530,0,9.05
Q4W5N1,Eukaryota,Non-dark,42%,33%,0%,0%,156,169,0,2.4
Q86UK0,Eukaryota,Non-dark,82%,2%,0%,11%,2595,5672,8,20.78
Q86UQ4,Eukaryota,Non-dark,91%,1%,0%,6%,5058,5677,0,24.49
Q2M3G0,Eukaryota,Non-dark,6%,4%,0%,13%,812,NA,2,8.92
Q9NP58,Eukaryota,Non-dark,29%,2%,0%,25%,842,7579,36,13.87
O75027,Eukaryota,Non-dark,25%,6%,0%,17%,752,7391,20,11.46
Q9NUT2,Eukaryota,Non-dark,22%,4%,0%,14%,735,7322,30,9.34
Q9NP78,Eukaryota,Non-dark,25%,4%,1%,22%,766,7106,0,12.73
Q9NRK6,Eukaryota,Non-dark,0%,3%,0%,14%,738,7790,4,6.84
O95342,Eukaryota,Non-dark,10%,4%,0%,19%,1321,5370,38,15.54
Q09428,Eukaryota,Non-dark,23%,5%,0%,23%,1581,5720,40,23.95
O60706,Eukaryota,Non-dark,23%,4%,0%,20%,1549,5817,6,17.52
Q96J66,Eukaryota,Non-dark,18%,3%,0%,15%,1382,5783,2,18.67
Q9NSE7,Eukaryota,Dark,100%,0%,0%,15%,274,411,2,2.96
P33897,Eukaryota,Non-dark,26%,4%,0%,14%,745,3442,16,10.93
Q9UBJ2,Eukaryota,Non-dark,28%,0%,0%,11%,740,3498,10,7.65
P28288,Eukaryota,Non-dark,16%,2%,0%,13%,659,3865,12,4.96
O14678,Eukaryota,Non-dark,8%,0%,0%,17%,606,3655,32,5.71
P61221,Eukaryota,Non-dark,0%,0%,0%,0%,599,3877,56,6.51
Q8NE71,Eukaryota,Non-dark,43%,42%,12%,0%,845,4811,50,13.44
Q9UG63,Eukaryota,Non-dark,20%,13%,0%,0%,623,4389,30,9.44
Q9NUQ8,Eukaryota,Non-dark,29%,8%,0%,0%,709,4259,0,10.41
P45844,Eukaryota,Non-dark,62%,1%,0%,18%,678,6196,24,8.28
Q9UNQ0,Eukaryota,Non-dark,64%,1%,0%,19%,655,5204,0,6.18
Q9H172,Eukaryota,Non-dark,59%,2%,0%,20%,646,5711,2,9.73
Q9H222,Eukaryota,Non-dark,64%,4%,0%,19%,651,5699,28,6.21
Q9H221,Eukaryota,Non-dark,64%,5%,0%,19%,673,4959,32,8.02
Q8N2K0,Eukaryota,Non-dark,35%,1%,3%,5%,398,2419,2,5.27
P41238,Eukaryota,Non-dark,28%,5%,6%,0%,236,44,8,1.99
Q9Y235,Eukaryota,Non-dark,18%,13%,0%,0%,224,49,4,3.8
Q8WW27,Eukaryota,Non-dark,59%,19%,4%,0%,367,3,82,9.06
Q6UXT9,Eukaryota,Non-dark,33%,7%,0%,0%,468,355,0,5.24
Q96SE0,Eukaryota,Non-dark,20%,3%,0%,5%,405,2110,0,4.81
P08910,Eukaryota,Non-dark,21%,0%,0%,5%,425,849,0,4.86
Q8WU67,Eukaryota,Non-dark,21%,0%,0%,5%,409,1973,0,3.71
Q8TB40,Eukaryota,Non-dark,9%,3%,0%,0%,342,348,0,4.39
Q8WTS1,Eukaryota,Non-dark,13%,3%,0%,0%,349,409,26,5.34
Q9BV23,Eukaryota,Non-dark,18%,1%,0%,6%,337,410,44,2.77
Q96I13,Eukaryota,Non-dark,11%,23%,0%,0%,439,2661,0,8.8
Q9NUJ1,Eukaryota,Non-dark,17%,0%,0%,0%,306,3050,0,3.28
Q8NFV4,Eukaryota,Non-dark,14%,14%,0%,0%,315,3373,0,3.16
Q7L211,Eukaryota,Non-dark,30%,0%,0%,6%,337,2933,0,3.32
Q9BUJ0,Eukaryota,Non-dark,28%,3%,0%,8%,271,3030,0,4.59
Q96IU4,Eukaryota,Non-dark,0%,2%,0%,0%,210,3437,0,4.64
O95870,Eukaryota,Non-dark,54%,6%,0%,8%,558,1195,42,11.65
Q9H3Z7,Eukaryota,Non-dark,32%,2%,2%,0%,469,1251,0,9.81
Q8IZP0,Eukaryota,Non-dark,56%,62%,31%,0%,508,526,60,10.02
Q9NYB9,Eukaryota,Non-dark,0%,57%,49%,0%,513,407,68,9.52
Q9P2A4,Eukaryota,Non-dark,40%,46%,23%,0%,366,572,20,7.57
P00519,Eukaryota,Non-dark,46%,45%,22%,0%,1130,9988,54,13.07
P42684,Eukaryota,Non-dark,50%,44%,19%,0%,1182,9987,66,11.37
O14639,Eukaryota,Non-dark,60%,41%,0%,0%,778,985,96,6.37
Q6H8Q1,Eukaryota,Non-dark,43%,37%,0%,0%,611,998,96,5.4
O94929,Eukaryota,Non-dark,51%,26%,0%,0%,683,991,96,5.6
Q9P1F3,Eukaryota,Non-dark,0%,0%,0%,0%,81,47,0,2.06
Q8N0Z2,Eukaryota,Non-dark,78%,58%,0%,0%,381,48,14,6.79
Q12979,Eukaryota,Non-dark,25%,12%,0%,0%,859,3191,8,9.75
Q9ULW3,Eukaryota,Non-dark,59%,45%,2%,0%,272,184,42,3.36
Q969K4,Eukaryota,Non-dark,6%,2%,0%,0%,478,3629,0,7.2
Q8N961,Eukaryota,Non-dark,32%,11%,0%,0%,1025,6611,2,16.61
Q13085,Eukaryota,Non-dark,34%,2%,0%,0%,2346,1367,46,16.9
O00763,Eukaryota,Non-dark,38%,8%,0%,0%,2458,1299,46,27.97
Q9UKU7,Eukaryota,Non-dark,6%,1%,0%,0%,415,1324,32,7.05
Q9H845,Eukaryota,Non-dark,8%,1%,0%,0%,621,1285,2,8.92
P28330,Eukaryota,Non-dark,13%,7%,0%,0%,430,1326,60,6.1
P11310,Eukaryota,Non-dark,0%,1%,0%,0%,421,1323,62,7.53
P16219,Eukaryota,Non-dark,7%,2%,0%,0%,412,1338,68,9.72
P49748,Eukaryota,Non-dark,10%,9%,0%,0%,655,1262,50,9.4
Q15027,Eukaryota,Non-dark,2%,21%,0%,0%,740,6035,38,10.86
Q15057,Eukaryota,Non-dark,15%,23%,0%,0%,778,6653,8,9.85
Q96P50,Eukaryota,Non-dark,14%,15%,0%,0%,834,6581,0,12.58
O00400,Eukaryota,Non-dark,26%,7%,0%,42%,549,247,12,4.39
Q8NC06,Eukaryota,Non-dark,59%,21%,0%,0%,268,229,0,5.22
Q5T8D3,Eukaryota,Non-dark,81%,50%,2%,4%,534,225,0,6.01
Q9BR61,Eukaryota,Non-dark,15%,11%,0%,0%,282,6111,0,2.77
Q8N6N7,Eukaryota,Non-dark,0%,0%,0%,0%,88,260,0,0.86
Q96GR2,Eukaryota,Non-dark,29%,9%,0%,0%,724,5101,68,8.56
Q5FVE4,Eukaryota,Non-dark,22%,3%,0%,0%,666,5204,68,6.21
P07108,Eukaryota,Non-dark,1%,8%,0%,0%,87,263,32,1.94
Q6JQN1,Eukaryota,Non-dark,5%,2%,0%,0%,1059,2727,0,12.09
Q709F0,Eukaryota,Non-dark,3%,1%,0%,0%,780,1622,0,8.34
P45954,Eukaryota,Non-dark,12%,1%,0%,0%,432,1332,68,6.47
Q96AP0,Eukaryota,Non-dark,70%,54%,16%,0%,544,11,100,8.85
Q9BYF1,Eukaryota,Non-dark,24%,4%,0%,3%,805,158,40,12.04
Q8TDN7,Eukaryota,Dark,100%,0%,0%,55%,264,96,78,3.9
Q5QJU3,Eukaryota,Dark,100%,0%,0%,52%,275,105,78,4.26
Q9NUN7,Eukaryota,Dark,100%,0%,0%,57%,267,102,86,0.97
P22303,Eukaryota,Non-dark,5%,6%,0%,0%,614,2064,32,8.26
P12821,Eukaryota,Non-dark,8%,2%,0%,2%,1306,146,48,16.49
Q9GZZ6,Eukaryota,Non-dark,16%,5%,0%,19%,450,1228,2,7.12
Q15822,Eukaryota,Non-dark,27%,5%,0%,16%,529,1204,110,10.7
P32297,Eukaryota,Non-dark,23%,1%,0%,17%,505,1211,78,10.13
P43681,Eukaryota,Non-dark,44%,26%,0%,14%,627,1184,48,10.84
P30532,Eukaryota,Non-dark,18%,2%,0%,18%,468,1206,84,6.75
Q15825,Eukaryota,Non-dark,22%,1%,0%,17%,494,1209,100,8.92
P36544,Eukaryota,Non-dark,23%,2%,0%,17%,502,1214,102,8
Q9UGM1,Eukaryota,Non-dark,21%,1%,0%,18%,479,1236,4,7.8
P02708,Eukaryota,Non-dark,20%,0%,0%,17%,482,1190,16,8.72
P17787,Eukaryota,Non-dark,24%,1%,0%,17%,502,1205,102,9.62
Q05901,Eukaryota,Non-dark,16%,0%,0%,18%,458,1220,110,8.21
P30926,Eukaryota,Non-dark,23%,2%,0%,17%,498,1208,90,6.15
P11230,Eukaryota,Non-dark,22%,4%,0%,17%,501,1208,92,7.23
Q07001,Eukaryota,Non-dark,25%,8%,0%,17%,517,1202,78,9.51
Q04844,Eukaryota,Non-dark,22%,3%,0%,18%,493,1215,78,7.54
P07510,Eukaryota,Non-dark,25%,1%,0%,17%,517,1214,2,8.47
Q9UKV3,Eukaryota,Non-dark,91%,90%,47%,0%,1341,129,28,11.42
Q07912,Eukaryota,Non-dark,60%,45%,37%,0%,1038,9982,52,9.76
Q16570,Eukaryota,Non-dark,12%,0%,0%,45%,336,1694,32,8.8
O00590,Eukaryota,Non-dark,23%,5%,0%,39%,384,3756,42,3.32
P25106,Eukaryota,Non-dark,11%,0%,0%,41%,362,3906,100,4.39
